20190701,1,CP:CBQYN,StandardType2,OOC,"-6.955983,52.702794","The Parade, Bagenalstown, County Carlow",-6.955983,52.702794
20190701,1,CP:C65QJ,StandardType2,Occ,"-6.923077,52.841045","Irish Rail, Railway Road, Carlow Town, County Carlow",-6.923077,52.841045
20190701,1,CP:C72G8,StandardType2,OOC,"-6.736986,52.801581","Inner Relief Road, Tullow, County Carlow",-6.736986,52.801581
20190701,1,CP:C7WLM,StandardType2,Part,"-6.972487,53.917571","Main Street, Bailieborough, County Cavan",-6.972487,53.917571
20190701,1,CP:C2YMD-A/B,StandardType2,OOS,"-7.204457,53.863850","The Grove, Ballyjamesduff, County Cavan",-7.204457,53.86385
20190701,1,CP:C4W54,StandardType2,Part,"-9.647069,52.683379","Public Car Park, East End, Kilkee, County Clare",-9.647069,52.683379
20190701,1,CP:C4PMX,StandardType2,OOC,"-8.897258,52.761544","Ennis Road, Newmarket-on-Fergus, County Clare",-8.897258,52.761544
20190701,1,CP:C6SJB,StandardType2,OOC,"-8.877285,52.708176","Shannon Town Centre, Bealach Bri, Shannon, County Clare",-8.877285,52.708176
20190701,1,CP:C6PQ9,StandardType2,Part,"-8.775394,52.741566","The Green, Sixmilebridge, County Clare",-8.775394,52.741566
20190701,1,CP:C6T5Z,StandardType2,OOS,"-8.534676,51.886038","Cork Institute of Technology, Rossa Avenue, Bishopstown, County Cork",-8.534676,51.886038
20190701,1,CP:C87TQ,StandardType2,OOC,"-8.889570,51.620831","Deasy's Public Car Park, Park Road (N71), Clonakilty, County Cork",-8.88957,51.620831
20190701,1,CP:C5YCB,StandardType2,Part,"-8.456340,51.902100","Irish Rail Kent Station, Lower Glanmire Road, Cork City, County Cork",-8.45634,51.9021
20190701,1,CP:C6CRQ,StandardType2,OOC,"-8.466504,51.878590","Black Ash Park and Ride, Off South City Link Road, Cork City, County Cork",-8.466504,51.87859
20190701,1,CP:C2RBS-A/B,StandardType2,OOC,"-9.111555,51.721685","Tanyard Lane Car Park, Off Main Street, Dunmanway, County Cork",-9.111555,51.721685
20190701,1,CP:C64RL,StandardType2,OOS,"-8.331938,51.849032","Public Car Park, Strand Road, Monkstown, County Cork",-8.331938,51.849032
20190701,1,CP:C69KF,StandardType2,OOS,"-7.850032,51.956697","Dolphin's Place, Youghal, County Cork",-7.850032,51.956697
20190701,1,CP:C7F3F,StandardType2,OOC,"-8.284545,54.798248","Mill Road, Glenties, County Donegal",-8.284545,54.798248
20190701,1,CP:C85KF,StandardType2,Occ,"-6.182937,53.610233","Public Car Park, Mill Street, Balbriggan, County Dublin",-6.182937,53.610233
20190701,1,CP:C79PY,StandardType2,Occ,"-6.242058,53.416010","Quickpark Dublin Airport, Old Airport Rd, Cloghran, County Dublin",-6.242058,53.41601
20190701,1,CP:C3VPB-A/B,StandardType2,Occ,"-6.103034,53.275704","Irish Rail Dalkey DART Station, Ardeveehan Road, Dalkey, County Dublin",-6.103034,53.275704
20190701,1,CP:C8PJ7,StandardType2,Part,"-6.258432,53.352022","Q-Park Multi-Storey Car Park, Sean McDermott Street, Dublin 1, County Dublin",-6.258432,53.352022
20190701,1,CP:C8YSR,StandardType2,Part,"-6.299208,53.329905","Crumlin Road, Dublin 12, County Dublin",-6.299208,53.329905
20190701,1,CP:C6TDJ,StandardType2,OOC,"-6.315448,53.319480","St. Agnes Road, Crumlin, Dublin 12, County Dublin",-6.315448,53.31948
20190701,1,CP:C4J7F,StandardType2,Part,"-6.372194,53.331883","The Plaza, Park West Road, Park West Business Park, Dublin 12, County Dublin",-6.372194,53.331883
20190701,1,CP:CBXC4,StandardType2,Part,"-6.364012,53.375177","Park Avenue, Castleknock, Dublin 15, County Dublin",-6.364012,53.375177
20190701,1,CP:C3RQP-A/B,StandardType2,Part,"-6.248054,53.338006","Clifton House, 11A Fitzwilliam Street Lower, Dublin 2, County Dublin",-6.248054,53.338006
20190701,1,CP:C3BMR-A/B,StandardType2,Occ,"-6.255804,53.332326","29 Adelaide Road, Dublin 2, County Dublin",-6.255804,53.332326
20190701,1,CP:C5C64,StandardType2,Part,"-6.252228,53.336699","Lower Pembroke Street, Dublin 2, County Dublin",-6.252228,53.336699
20190701,1,CP:C6Z87,StandardType2,Part,"-6.242715,53.336496","Mount Street Crescent, Dublin 2, County Dublin",-6.242715,53.336496
20190701,1,CP:C3ZBN-A/B,StandardType2,Part,"-6.248710,53.334400","Court Apartments, Wilton Place, Dublin 2, County Dublin",-6.24871,53.3344
20190701,1,CP:C6Y7D,StandardType2,Part,"-6.183082,53.360832","Kincora Road, Clontarf, Dublin 3, County Dublin",-6.183082,53.360832
20190701,1,CP:C2NT8-A/B,StandardType2,Part,"-6.228056,53.342945","Thorncastle Street, Ringsend, Dublin 4, County Dublin",-6.228056,53.342945
20190701,1,CP:C4H6R,StandardType2,Part,"-6.287405,53.354892","St. Joseph's Road, Stoneybatter, Dublin 7, County Dublin",-6.287405,53.354892
20190701,1,CP:C7952,StandardType2,Part,"-6.268513,53.340573","Golden Lane, Dublin 8, County Dublin",-6.268513,53.340573
